                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6589,                 1.2365,                 1.3151,                 1.9448,                 1.6882,                 1.2232,                0.88349,                0.86599,                0.92745,                0.56323,                 1.3079,                0.71258,                 1.0139,                 1.4014,                0.68555,                0.97801,             0.00047079,             0.00047079,             0.00047079
                      2,                 1.5527,                0.96545,                 1.1824,                 1.7952,                 1.1623,                 1.1243,                0.85034,                0.85127,                  0.919,                 0.5367,                 1.3974,                0.76091,                 1.0347,                 1.4606,                 0.6951,                 1.0036,             0.00094702,             0.00094702,             0.00094702
                      3,                 1.5176,                0.92773,                 1.1643,                 1.7474,                 1.0835,                 1.1058,                0.85398,                0.88685,                0.93486,                0.56914,                 1.3255,                0.72551,                 1.0188,                 1.4099,                0.65172,                0.97837,              0.0014228,              0.0014228,              0.0014228
                      4,                 1.5182,                 0.9265,                 1.1513,                 1.7539,                 1.0828,                 1.1015,                0.86311,                0.87038,                0.92789,                 0.5357,                 1.3462,                0.73344,                 1.0399,                 1.4602,                0.67035,                0.99739,              0.0014276,              0.0014276,              0.0014276
                      5,                 1.5038,                0.89749,                 1.1428,                 1.7343,                 1.0393,                 1.0935,                0.84114,                0.88451,                0.92387,                0.53775,                 1.3693,                0.74949,                 1.0442,                 1.4895,                0.66909,                 1.0108,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.5292,                0.89395,                 1.1514,                 1.7748,                 1.0112,                 1.0932,                0.85836,                0.87857,                0.92503,                0.54891,                 1.3306,                0.74837,                 1.0296,                 1.4398,                0.66346,                0.99208,              0.0014265,              0.0014265,              0.0014265
                      7,                 1.5066,                0.91734,                 1.1497,                 1.7381,                   1.07,                 1.0985,                0.86368,                0.87011,                0.92745,                0.54056,                 1.3868,                 0.7244,                 1.0493,                 1.4691,                0.67971,                 1.0067,              0.0014251,              0.0014251,              0.0014251
                      8,                 1.4786,                0.87536,                 1.1321,                 1.7221,                 1.0136,                 1.0831,                0.84676,                0.87928,                0.92576,                0.48755,                 1.5884,                0.76062,                 1.0831,                  1.643,                0.71372,                  1.035,              0.0014234,              0.0014234,              0.0014234
                      9,                 1.4855,                0.87886,                 1.1352,                 1.7115,                 1.0128,                 1.0836,                0.85101,                0.85764,                0.91322,                0.56428,                 1.2973,                 0.7158,                 1.0327,                 1.3788,                0.67374,                0.98661,              0.0014213,              0.0014213,              0.0014213
                     10,                 1.4906,                0.87196,                 1.1424,                 1.7113,                0.99413,                 1.0852,                0.85823,                0.86537,                0.92131,                0.53881,                 1.3535,                0.73099,                   1.04,                 1.4667,                0.69312,                0.99637,               0.001419,               0.001419,               0.001419
                     11,                 1.4918,                0.86129,                 1.1371,                 1.7163,                0.98878,                  1.085,                0.85869,                0.85605,                0.92643,                0.55269,                 1.3544,                0.72703,                 1.0238,                  1.415,                0.67958,                 0.9782,              0.0014163,              0.0014163,              0.0014163
                     12,                 1.4797,                  0.856,                 1.1289,                  1.705,                0.97948,                 1.0733,                0.85105,                0.89039,                0.92857,                0.53406,                 1.4173,                0.74756,                 1.0527,                 1.5046,                0.68234,                0.99811,              0.0014134,              0.0014134,              0.0014134
                     13,                 1.4658,                0.85549,                 1.1273,                 1.7075,                0.96919,                 1.0745,                0.82054,                0.89396,                0.91568,                0.53979,                 1.3385,                  0.726,                 1.0327,                 1.4437,                0.67967,                0.99363,              0.0014101,              0.0014101,              0.0014101
                     14,                 1.4826,                0.87045,                 1.1402,                 1.7117,                0.98632,                 1.0918,                0.86057,                0.87789,                0.91999,                0.52751,                 1.4595,                0.73485,                 1.0674,                 1.4938,                0.67945,                 1.0077,              0.0014066,              0.0014066,              0.0014066
                     15,                 1.4547,                0.84136,                 1.1276,                 1.6935,                 0.9587,                 1.0762,                0.87378,                0.87394,                0.92747,                0.54602,                 1.3876,                0.72136,                 1.0398,                 1.4533,                0.65805,                0.99651,              0.0014027,              0.0014027,              0.0014027
                     16,                 1.4339,                0.82099,                 1.1136,                 1.6637,                0.93551,                 1.0657,                0.85821,                0.87997,                0.93201,                0.54825,                 1.3907,                0.71469,                 1.0321,                 1.4497,                 0.6909,                 0.9896,              0.0013985,              0.0013985,              0.0013985
                     17,                 1.4432,                0.82575,                 1.1122,                 1.6832,                0.94413,                  1.066,                0.85071,                0.87772,                0.92539,                0.54875,                 1.3137,                0.70941,                 1.0228,                 1.4196,                0.67722,                 0.9888,               0.001394,               0.001394,               0.001394
                     18,                 1.4532,                0.82961,                 1.1241,                 1.6866,                0.94239,                 1.0787,                0.84157,                0.87111,                0.92253,                0.56135,                 1.3028,                0.69849,                 1.0174,                 1.4056,                0.68908,                0.98679,              0.0013893,              0.0013893,              0.0013893
                     19,                 1.4516,                0.84115,                 1.1238,                 1.6874,                0.96268,                 1.0781,                0.87191,                0.85887,                0.91731,                0.51989,                 1.4593,                0.71683,                 1.0521,                 1.5111,                0.65372,                 1.0059,              0.0013842,              0.0013842,              0.0013842
                     20,                 1.4621,                0.83163,                 1.1265,                   1.71,                0.94288,                 1.0783,                0.87272,                0.85618,                0.92331,                0.55628,                 1.3221,                0.71519,                  1.054,                 1.4172,                0.65917,                 1.0122,              0.0013788,              0.0013788,              0.0013788
                     21,                 1.4381,                0.82283,                 1.1089,                 1.6787,                0.92738,                 1.0584,                0.86824,                 0.8747,                0.93483,                0.56875,                 1.3065,                0.68423,                 1.0281,                 1.3985,                0.62156,                0.98736,              0.0013732,              0.0013732,              0.0013732
                     22,                  1.436,                0.81134,                 1.1139,                 1.6801,                0.91837,                 1.0677,                0.83344,                0.88587,                0.91996,                0.51719,                 1.4964,                0.74794,                 1.0492,                 1.5213,                0.68651,                 1.0028,              0.0013672,              0.0013672,              0.0013672
                     23,                 1.4302,                0.83787,                 1.1223,                 1.6579,                  0.948,                 1.0811,                0.86954,                0.87418,                0.93318,                0.53988,                 1.3946,                0.73105,                 1.0469,                 1.4493,                 0.6857,                 1.0026,               0.001361,               0.001361,               0.001361
                     24,                 1.4425,                0.82998,                 1.1186,                 1.6651,                0.93559,                  1.073,                0.86851,                 0.8649,                0.92425,                0.52086,                 1.4871,                 0.7404,                 1.0576,                  1.538,                0.68448,                 1.0085,              0.0013545,              0.0013545,              0.0013545
                     25,                 1.4591,                0.84112,                 1.1252,                 1.6864,                0.94951,                 1.0746,                0.87602,                0.86467,                0.93361,                0.52111,                 1.4574,                0.72822,                 1.0468,                 1.5135,                0.66562,                 1.0045,              0.0013477,              0.0013477,              0.0013477
                     26,                 1.4439,                0.81959,                 1.1125,                 1.6836,                0.91099,                 1.0642,                0.85188,                0.88185,                0.92617,                0.52998,                 1.4167,                 0.7619,                 1.0515,                 1.4907,                0.70191,                 1.0062,              0.0013406,              0.0013406,              0.0013406
                     27,                 1.4153,                0.79609,                 1.1015,                 1.6562,                0.89007,                 1.0573,                0.85677,                0.86295,                0.91834,                0.55833,                 1.2905,                0.70154,                 1.0156,                 1.3914,                0.66902,                0.98348,              0.0013333,              0.0013333,              0.0013333
                     28,                 1.4296,                0.81646,                 1.1067,                 1.6819,                0.92443,                 1.0605,                0.85849,                0.87868,                0.92104,                0.54757,                 1.3159,                0.70765,                 1.0348,                 1.3959,                0.68884,                0.99528,              0.0013257,              0.0013257,              0.0013257
                     29,                 1.4062,                0.78878,                 1.0991,                 1.6354,                0.89983,                 1.0559,                0.87782,                0.88868,                0.93608,                0.52421,                 1.4837,                 0.7235,                 1.0645,                 1.5092,                0.63872,                 1.0123,              0.0013178,              0.0013178,              0.0013178
                     30,                 1.4152,                0.80378,                 1.1079,                 1.6577,                0.91497,                 1.0626,                0.88419,                0.86505,                0.92937,                0.54382,                 1.3905,                0.70727,                 1.0344,                 1.4709,                0.64282,                0.99777,              0.0013096,              0.0013096,              0.0013096
